PublicationDate,PropertyNumber,County,LocalAuthority,Category,Uses,Address1,Address2,Address3,Address4,Address5,CarPark,ValuationReport__Level,ValuationReport__FloorUse,ValuationReport__Area,ValuationReport__NavPerM2,ValuationReport__Nav
17/09/2019,655377,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -","1A  (FL 0,1,2)  INCLUDING  655395 EGLINGTON ROAD",BRAY,CO. WICKLOW,,,0,0,OFFICE(S),43.3,120,5196
,,,,,,,,,,,,1,OFFICE(S),58.28,84,4895.52
,,,,,,,,,,,,2,OFFICE(S),16.3,59,961.7
,,,,,,,,,,,,2,KITCHEN,10.56,59,623.04
17/09/2019,655394,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",1 EGLINGTON ROAD,BRAY,CO. WICKLOW,,,0,-1,OFFICE(S),41.32,84,3470.88
,,,,,,,,,,,,-1,STORE,19.56,84,1643.04
17/09/2019,655409,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",20 (LOCAL NO. 4)(GR.FL.& BASE) FITZWILLIAM TERRACE,BRAY,CO. WICKLOW,,,0,-1,OFFICE(S),73.25,84,6153
,,,,,,,,,,,,0,OFFICE(S),78.64,120,9436.8
,,,,,,,,,,,,-1,STORE,2.38,84,199.92
17/09/2019,655445,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",23 FLORENCE TERRACE,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),91.9,120,11028
,,,,,,,,,,,,1,OFFICE(S),46.3,84,3889.2
17/09/2019,655711,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",28/MPT/MOF MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),77.4,90,6966
,,,,,,,,,,,,1,STORE,26.88,90,2419.2
,,,,,,,,,,,,2,OFFICE(S),70.88,63,4465.44
14/01/2021,655713,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",First Floor,28A Main Street,Bray,Co. Wicklow,,0,1,OFFICE(S),75.9,90,6831
17/09/2019,656432,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",8 PRINCE OF WALES TERRACE,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),81.37,84,6835.08
,,,,,,,,,,,,2,OFFICE(S),85.97,59,5072.23
17/09/2019,656447,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",10 PRINCE OF WALES TERRACE,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),59.96,84,5036.64
17/09/2019,656547,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",FIRST FLOOR,THE BOULEVARD CENTRE,QUINSBOROUGH ROAD,BRAY,CO WICKLOW,0,1,OFFICE(S),1199.78,90,107980.2
,,,,,,,,,,,,1,ALLOWANCE,-1,43160,-43160
17/09/2019,654035,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",1B DUBLIN ROAD,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),61.8,90,5562
17/09/2019,656443,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",8 PRINCE OF WALES TERRACE,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),63.75,120,7650
,,,,,,,,,,,,0 rtn,OFFICE(S),12,120,1440
17/09/2019,2170741,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 28 EGAN BUSINESS CENTRE DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),20.14,90,1812.6
,,,,,,,,,,,,1,OFFICE(S),1,453.15,453.15
,,,,,,,,,,,,1,ALLOWANCE,-1,678,-678
17/09/2019,2170777,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 35 EGAN BUSINESS CENTRE DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),35.61,90,3204.9
,,,,,,,,,,,,1,ALLOWANCE,-1,640,-640
17/09/2019,2170809,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 51 EGAN BUSINESS CTR.  DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),21.45,90,1930.5
,,,,,,,,,,,,1,OFFICE(S),1,482.5,482.5
,,,,,,,,,,,,1,ALLOWANCE,-1,482,-482
17/09/2019,2170816,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 58 EGAN BUSINESS CENTRE DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),26.6,90,2394
,,,,,,,,,,,,1,OFFICE(S),1,597.5,597.5
17/09/2019,2170827,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 64 EGAN BUSINESS CTR. DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),22.26,90,2003.4
,,,,,,,,,,,,1,OFFICE(S),1,500.85,500.85
,,,,,,,,,,,,1,ALLOWANCE,-1,500,-500
17/09/2019,2095094,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",9 (IST FL)(RIGHT) SOUTH QUAY,WICKLOW,CO. WICKLOW,,,0,1,OFFICE(S),84.17,63,5302.71
17/09/2019,2184638,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (3RD GENERATION), -",LA VALLEE HOUSE (FLOOR 2) DARGLE ROAD,BRAY,CO. WICKLOW,,,22,2,OFFICE(S),375.4,120,45048
,,,,,,,,,,,,0,CAR SPACES (NO. OF),22,150,3300
17/09/2019,662902,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",2 MARKET STREET,WICKLOW,CO. WICKLOW,,,0,0,OFFICE(S),39.54,90,3558.6
,,,,,,,,,,,,1,OFFICE(S),283.5,63,17860.5
17/09/2019,656451,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",10 PRINCE OF WALES TERRACE,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),57.23,120,6867.6
17/09/2019,656458,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",1A3 QUINSBOROUGH ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),40.28,90,3625.2
17/09/2019,658391,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), BARBER",1ST FLOOR,90 MAIN STREET,BRAY,CO WICKLOW,,0,1,HAIR SALON,46.21,90,4158.9
17/09/2019,2170808,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 50 & 56 & 57 EGAN BUSINESS CTR. DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),102.8,90,9252
,,,,,,,,,,,,1,OFFICE(S),-1,1850.4,-1850.4
,,,,,,,,,,,,1,ALLOWANCE,-1,988.6,-988.6
17/09/2019,2171844,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",4B1 (1ST & 2ND FLS) FITZWILLIAM SQUARE,WICKLOW,CO. WICKLOW,,,0,1,RESTAURANT,81.13,90,7301.7
,,,,,,,,,,,,2,RESTAURANT,71.45,69,4930.05
17/09/2019,2200885,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",3/B PT LAMBERTON,ARKLOW,CO. WICKLOW,,,0,0,CRECHE,225.14,90,20262.6
,,,,,,,,,,,,1,CRECHE,180.08,63,11345.04
17/09/2019,2205397,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 10B/3A,BLESSINGTON,BALTINGLASS 1 CO. WICKLOW,,,0,0,OFFICE(S),30.86,80,2468.8
,,,,,,,,,,,,0,KITCHEN,2.89,80,231.2
,,,,,,,,,,,,1,OFFICE(S),35.69,56,1998.64
17/09/2019,2184637,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (3RD GENERATION), -",LA VALLEE HOUSE (FLOOR 1 RHS) DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),104.28,120,12513.6
,,,,,,,,,,,,0,CAR SPACES (NO. OF),2,150,300
17/09/2019,2184641,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), BEAUTY SALON / MASSAGE",FLOOR 1,66 C MAIN STREET,BRAY,CO. WICKLOW,,0,1,OFFICE(S),45.22,90,4069.8
,,,,,,,,,,,,1,KITCHEN,2.38,90,214.2
17/09/2019,2185175,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",3 (2 ND FLOOR) WENTWORTH PLACE,WICKLOW,CO. WICKLOW,,,0,2,OFFICE(S),76.43,44,3362.92
,,,,,,,,,,,,2,OFFICE(S),59.43,44,2614.92
17/09/2019,653153,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",25 HARBOUR ROAD,ARKLOW,CO. WICKLOW,,,0,0,SURGERY,61.06,90,5495.4
17/09/2019,653474,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",4 FERRYBANK,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),33.65,90,3028.5
,,,,,,,,,,,,1,OFFICE(S),39.38,63,2480.94
,,,,,,,,,,,,-1,STORE,46.76,63,2945.88
17/09/2019,653638,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (2ND GENERATION), -",5L FERRYBANK,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),84.41,80,6752.8
17/09/2019,655780,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",7 MARINE TERRACE,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),84.25,120,10110
,,,,,,,,,,,,1,OFFICE(S),59.8,84,5023.2
,,,,,,,,,,,,2,OFFICE(S),17.5,59,1032.5
17/09/2019,656546,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",39C/1 (0) PRINCE OF WALES TERRACE,BRAY,CO. WICKLOW,,,0,0,SURGERY,91.02,120,10922.4
17/09/2019,658403,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",98C MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),54.27,90,4884.3
,,,,,,,,,,,,2,OFFICE(S),54.27,63,3419.01
17/09/2019,2170815,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 55 EGAN BUSINESS CENTRE DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),29.67,90,2670.3
,,,,,,,,,,,,1,OFFICE(S),1,667.575,667.575
,,,,,,,,,,,,1,ALLOWANCE,-1,666,-666
17/09/2019,2170830,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 66 EGAN BUSINESS CTR. DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),28.98,90,2608.2
,,,,,,,,,,,,1,OFFICE(S),1,652.05,652.05
17/09/2019,2200846,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",IN 3 HARBOUR CRT HARBOUR ROAD,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),38.14,90,3432.6
17/09/2019,2184636,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (3RD GENERATION), -",Ground Floor,La Vallee House,Upper Dargle Road,Bray,Co Wicklow,14,0,OFFICE(S),358.03,120,42963.6
,,,,,,,,,,,,0,CAR SPACES (NO. OF),14,150,2100
17/09/2019,654263,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",AN LAR HOUSE,LOWER DARGLE ROAD,BRAY,COUNTY WICKLOW,,0,0,OFFICE(S),241.52,120,28982.4
,,,,,,,,,,,,1,OFFICE(S),146.97,84,12345.48
17/09/2019,655065,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",1 BAYVIEW TERRACE,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),72.7,120,8724
,,,,,,,,,,,,MEZZ,STORE,1.69,84,141.96
,,,,,,,,,,,,1,OFFICE(S),57.6,84,4838.4
17/09/2019,655372,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",55 QUINSBOROUGH ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),88.5,84,7434
14/01/2021,655465,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",9 FLORENCE TERRACE,BRAY,CO. WICKLOW,,,0,0,SURGERY,34.88,120,4185.6
,,,,,,,,,,,,0,RECEPTION,16.6,120,1992
,,,,,,,,,,,,0,STORE,0.8,120,96
17/09/2019,655508,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), CLUB HOUSE",4 FLORENCE TERRACE,BRAY,CO. WICKLOW,,,0,-1,CLUBHOUSE,61.78,84,5189.52
,,,,,,,,,,,,0,CLUBHOUSE,68.52,120,8222.4
17/09/2019,655701,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",15 MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),73.8,90,6642
,,,,,,,,,,,,2,OFFICE(S),12.47,63,785.61
17/09/2019,655706,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",20 MAIN STREET,BRAY,CO. WICKLOW,,,0,1,HAIR SALON,22.33,90,2009.7
,,,,,,,,,,,,1,STORE,2.23,90,200.7
,,,,,,,,,,,,0,HAIR SALON,1,552.5,552.5
17/09/2019,656301,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",IN 45 OAKLANDS TERRACE,BRAY,CO. WICKLOW,,,0,-1,OFFICE(S),49,84,4116
17/09/2019,656433,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",9 PRINCE OF WALES TERRACE,BRAY,CO. WICKLOW,,,0,-1,OFFICE(S),85.29,84,7164.36
,,,,,,,,,,,,-1,KITCHEN,7.38,84,619.92
,,,,,,,,,,,,0,OFFICE(S),65.22,120,7826.4
,,,,,,,,,,,,1,OFFICE(S),82.07,84,6893.88
,,,,,,,,,,,,2,OFFICE(S),65.75,59,3879.25
17/09/2019,656444,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",32C PRINCE OF WALES TERRACE,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),32.46,120,3895.2
17/09/2019,2170811,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -","2AB/UNIT 53, EGAN BUSINESS CENTRE DARGLE ROAD",BRAY,CO. WICKLOW,,,0,1,OFFICE(S),27.31,90,2457.9
,,,,,,,,,,,,1,OFFICE(S),1,614.475,614.475
17/09/2019,2171847,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",16 CHURCH STREET,WICKLOW,CO. WICKLOW,,,0,0,OFFICE(S),73.26,90,6593.4
17/09/2019,5005261,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",1A (REAR MEWS) PRINCE OF WALES TERRACE,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),73.73,120,8847.6
17/09/2019,2184640,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -","66 DE (FLOORS 0, 1) MAIN STREET",BRAY,CO. WICKLOW,,,0,0,OFFICE(S),31.98,120,3837.6
,,,,,,,,,,,,1,OFFICE(S),19.25,84,1617
,,,,,,,,,,,,1,STORE,5.4,84,453.6
17/09/2019,655141,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",7 (FLOOR 0) CARLETON VILLAS,BRAY,CO. WICKLOW,,,0,0,SURGERY,68.5,120,8220
02/11/2022,655441,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -","7 (FLOOR 0,1 & 2) FLORENCE ROAD",BRAY,CO. WICKLOW,,,0,0,OFFICE(S),27.88,120,3345.6
,,,,,,,,,,,,0,STORE,18.16,120,2179.2
,,,,,,,,,,,,1,OFFICE(S),33.74,84,2834.16
,,,,,,,,,,,,2,OFFICE(S),12.6,59,743.4
17/09/2019,663672,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",3B HIGH STREET,WICKLOW,CO. WICKLOW,,,0,0,OFFICE(S),67.67,90,6090.3
,,,,,,,,,,,,0,OFFICE(S),-14.2,90,-1278
17/09/2019,2184783,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",4 (1 FRONT) ABBEY LANE,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),34.5,63,2173.5
17/12/2021,2193089,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",Menlo,Church Road,Greystones,Co Wicklow,,0,1,OFFICE(S),37.42,84,3143.28
17/09/2019,662736,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",4E CHURCH STREET,WICKLOW,CO. WICKLOW,,,0,0,OFFICE(S),69.54,90,6258.6
,,,,,,,,,,,,1,OFFICE(S),80.89,63,5096.07
17/09/2019,2185170,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",1.2/UNIT 2 WENTWORTH PLACE,WICKLOW,CO. WICKLOW,,,0,-1,OFFICE(S),64.94,63,4091.22
17/09/2019,2184785,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",4 (2 FRONT) ABBEY LANE,ARKLOW,CO. WICKLOW,,,0,2,OFFICE(S),57.9,44,2547.6
17/09/2019,2193075,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",LOCAL NO/MAP REF: LOT 13/50 (FLOOR 1),AUGHRIM LOWER,AUGHRIM,RATHDRUM CO. WICKLOW,,0,1,OFFICE(S),12.33,45,554.85
,,,,,,,,,,,,1,OFFICE(S),1,650,650
17/09/2019,2193292,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (INDUSTRIAL), -",LOCAL NO/MAP REF: BLOCK 1 FLOOR 1,MONEYCARROLL,NEWCASTLE UPPER,RATHDRUM CO. WICKLOW,,0,1,OFFICE(S),267.81,70,18746.7
17/09/2019,658520,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",UNITS 1 & 2 THE MILL (THE MALTINGS) MILL LANE,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),126.31,120,15157.2
,,,,,,,,,,,,MEZZ,OFFICE(S),88.57,84,7439.88
17/09/2019,660241,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (INDUSTRIAL), -",9C BOGHALL ROAD,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),571.59,66,37724.94
,,,,,,,,,,,,0,BOILER HOUSE / PLANT,19.2,66,1267.2
17/09/2019,661026,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",14B3 KILBRIDE,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),59.11,120,7093.2
,,,,,,,,,,,,1,OFFICE(S),58.21,84,4889.64
17/09/2019,661041,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"STUDIO, STORE",HERBERT ROAD,BRAY,CO. WICKLOW,A98 C3C6,,0,0,OFFICE(S),1462.35,38,55569.3
,,,,,,,,,,,,0,WORKSHOP,2761.97,38,104954.86
,,,,,,,,,,,,0,STUDIO,2626.11,45.6,119750.616
,,,,,,,,,,,,0,STUDIO,983.13,38,37358.94
,,,,,,,,,,,,1,STUDIO,253.5,38,9633
,,,,,,,,,,,,0,STORE,947.7,38,36012.6
,,,,,,,,,,,,0,STUDIO,1543.5,50.4,77792.4
,,,,,,,,,,,,0,STORE,2226.9,30.4,67697.76
,,,,,,,,,,,,0,WORKSHOP,244.06,30.4,7419.424
,,,,,,,,,,,,0,RESTAURANT,516.66,38,19633.08
,,,,,,,,,,,,1,STORE,107.84,38,4097.92
,,,,,,,,,,,,0,STUDIO,172.96,30.4,5257.984
,,,,,,,,,,,,0,OFFICE(S),177.94,30.4,5409.376
,,,,,,,,,,,,1,OFFICE(S),709.55,38,26962.9
,,,,,,,,,,,,0,YARD,10724,3.8,40751.2
,,,,,,,,,,,,0,ALLOWANCE,-1,93045,-93045
,,,,,,,,,,,,0,PLANT / OTHER - TANKS,1,2000,2000
17/09/2019,662630,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (3RD GENERATION), -",3A THE GLEBE,WICKLOW,CO. WICKLOW,,,0,0,OFFICE(S),2446.51,90,220185.9
,,,,,,,,,,,,1,OFFICE(S),1665.7,90,149913
,,,,,,,,,,,,2,OFFICE(S),1649.94,90,148494.6
,,,,,,,,,,,,3,OFFICE(S),256.96,90,23126.4
17/09/2019,662898,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",8A MARKET SQUARE,WICKLOW,CO. WICKLOW,,,0,0,OFFICE(S),46.41,90,4176.9
17/09/2019,657842,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -","52 ROSEBANK,  UNIT 1 (FLOOR -1 LHS) HERBERT TERRACE",BRAY,CO. WICKLOW,,,0,-1,OFFICE(S),35,84,2940
,,,,,,,,,,,,0,CAR SPACES (NO. OF),1,150,150
17/09/2019,658345,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",52A/1 MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),149.22,90,13429.8
,,,,,,,,,,,,1,ALLOWANCE,-1,685.96,-685.96
17/09/2019,658392,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",90D MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),64,90,5760
17/09/2019,658395,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), RESTAURANT",91 MAIN STREET,BRAY,CO. WICKLOW,,,0,1,RESTAURANT,17.15,110,1886.5
,,,,,,,,,,,,1,RESTAURANT,1,470,470
17/09/2019,658410,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",101A MAIN STREET,BRAY,CO. WICKLOW,,,0,1,SHOP,25.25,90,2272.5
,,,,,,,,,,,,1,STORE,18.31,90,1647.9
17/09/2019,2170740,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 27 EGAN BUSINESS CENTRE DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),59.84,90,5385.6
17/09/2019,2170822,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 61 EGAN BUSINESS CENTRE DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),23.94,90,2154.6
,,,,,,,,,,,,1,OFFICE(S),1,537.5,537.5
,,,,,,,,,,,,1,ALLOWANCE,-1,538,-538
17/09/2019,2184644,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (3RD GENERATION), -",UNIT 1M RHS REAR,ONE SOUTHERN CROSS,IDA BRAY BUSINESS PARK,BRAY,CO WICKLOW,0,0,OFFICE(S),350.49,120,42058.8
,,,,,,,,,,,,0,CAR SPACES (NO. OF),8,150,1200
17/09/2019,2184643,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (3RD GENERATION), -",1 M (FLOOR 0 RHS FRONT),ONE SOUTHERN CROSS ROAD,IDA BUSINESS PARK,BRAY,CO WICKLOW,0,0,OFFICE(S),519.1,120,62292
,,,,,,,,,,,,0,CAR SPACES (NO. OF),15,150,2250
17/09/2019,2192496,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 14 (A),DELGANY,RATHDOWN 2 CO. WICKLOW,,,0,1,OFFICE(S),34.17,56,1913.52
17/09/2019,657836,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), HAIRDRESSING SALON",2 HERBERT ROAD,BRAY,CO. WICKLOW,,,0,0,HAIR SALON,53.35,120,6402
17/09/2019,2170814,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 54 EGAN BUSINESS CENTRE DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),14.04,90,1263.6
,,,,,,,,,,,,1,OFFICE(S),1,315.9,315.9
,,,,,,,,,,,,1,ALLOWANCE,-1,314,-314
17/09/2019,2200845,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",10/20 PT CHERRYFIELD,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),20.64,90,1857.6
17/09/2019,2185169,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",1.2/UNIT 1 WENTWORTH PLACE,WICKLOW,CO. WICKLOW,,,0,-1,OFFICE(S),64.01,63,4032.63
17/09/2019,2193074,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",LOCAL NO/MAP REF: UNIT 4,AUGHRIM LOWER,AUGHRIM,RATHDRUM CO. WICKLOW,,0,2,OFFICE(S),41.92,30,1257.6
17/09/2019,658504,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2ND FLOOR,101 MAIN STREET,BRAY,CO. WICKLOW,,0,2,OFFICE(S),87.84,63,5533.92
17/09/2019,662697,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",6A ( FL 0 &1) WENTWORTH PLACE,WICKLOW,CO. WICKLOW,,,0,0,OFFICE(S),92.53,90,8327.7
,,,,,,,,,,,,1,OFFICE(S),87.79,63,5530.77
17/09/2019,664886,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",96 (1ST AND 2ND FLOORS) MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),50.07,90,4506.3
,,,,,,,,,,,,2,OFFICE(S),15.15,63,954.45
